mysql> select * from weightsensor_sensordaily where tagid="5a-c2-15-0b-00-01";
+-------+-------------------+---------------------+---------------+----------+---------+----------------------------+
| id    | tagid             | reading             | distancelader | dcstatus | battery | timestamp                  |
| 16957 | 5a-c2-15-0b-00-01 |   3.890999999999991 |          1000 |        0 |     100 | 2023-02-06 22:57:15.745202 |
| 16958 | 5a-c2-15-0b-00-01 |   7.734000000000009 |          1000 |        0 |     100 | 2023-02-06 23:01:14.023147 |
| 16959 | 5a-c2-15-0b-00-01 |   8.221000000000004 |          1000 |        0 |     100 | 2023-02-06 23:02:02.073858 |
| 16960 | 5a-c2-15-0b-00-01 |   8.754999999999995 |          1000 |        0 |     100 | 2023-02-06 23:06:42.250068 |
| 16961 | 5a-c2-15-0b-00-01 |   9.343000000000018 |          1000 |        0 |     100 | 2023-02-06 23:08:55.108928 |
| 16962 | 5a-c2-15-0b-00-01 |   9.816000000000003 |          1000 |        0 |     100 | 2023-02-06 23:12:28.098149 |
| 16963 | 5a-c2-15-0b-00-01 |  10.194999999999993 |          1000 |        0 |     100 | 2023-02-06 23:13:59.342109 |
| 16964 | 5a-c2-15-0b-00-01 |  10.789999999999992 |          1000 |        0 |     100 | 2023-02-06 23:24:00.403379 |
| 16965 | 5a-c2-15-0b-00-01 |  11.605999999999995 |          1000 |        1 |     100 | 2023-02-07 11:31:37.601240 |
| 16972 | 5a-c2-15-0b-00-01 |  1.2180000000000177 |          1000 |        1 |     100 | 2023-02-07 12:30:27.206202 |
| 16973 | 5a-c2-15-0b-00-01 |  2.0020000000000095 |          1000 |        1 |     100 | 2023-02-07 13:15:58.103669 |
| 16974 | 5a-c2-15-0b-00-01 |   0.820999999999998 |          1000 |        0 |     100 | 2023-02-07 13:16:15.222728 |
| 16975 | 5a-c2-15-0b-00-01 |  1.1810000000000116 |          1000 |        0 |     100 | 2023-02-07 13:16:58.371729 |
| 16976 | 5a-c2-15-0b-00-01 |   1.561000000000007 |          1000 |        1 |     100 | 2023-02-07 13:18:07.663812 |
| 16977 | 5a-c2-15-0b-00-01 |   1.132000000000005 |          1000 |        0 |     100 | 2023-02-07 13:18:29.029545 |
| 16978 | 5a-c2-15-0b-00-01 |  1.8540000000000134 |          1000 |        1 |     100 | 2023-02-07 13:21:43.357510 |
| 16979 | 5a-c2-15-0b-00-01 |  0.8529999999999802 |          1000 |        0 |     100 | 2023-02-07 13:22:04.730039 |
| 16980 | 5a-c2-15-0b-00-01 |  1.8160000000000025 |          1000 |        0 |     100 | 2023-02-07 13:23:05.394054 |
| 16981 | 5a-c2-15-0b-00-01 |  2.6059999999999945 |          1000 |        0 |     100 | 2023-02-07 13:29:22.459721 |
| 16982 | 5a-c2-15-0b-00-01 |   2.829999999999984 |          1000 |        0 |     100 | 2023-02-07 13:33:46.968754 |
| 16983 | 5a-c2-15-0b-00-01 |  3.0459999999999923 |          1000 |        0 |     100 | 2023-02-07 13:35:56.308358 |
| 16984 | 5a-c2-15-0b-00-01 |  3.3810000000000002 |          1000 |        0 |     100 | 2023-02-07 13:36:39.324565 |
| 16985 | 5a-c2-15-0b-00-01 |   4.438999999999993 |          1000 |        0 |     100 | 2023-02-07 13:38:22.988678 |
| 16986 | 5a-c2-15-0b-00-01 |   5.424999999999983 |          1000 |        0 |     100 | 2023-02-07 13:41:44.428760 |
